id,name,Monday open,Monday close,Tuesday open,Tuesday close,Wednesday open,Wednesday close,Thursday open,Thursday close,Friday open,Friday close,Saturday open,Saturday close,Sunday open,Sunday close
1,Mail Center,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,10:00,17:00,00:00,00:00
2,Rivers GCBC,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,07:00,21:00,07:00,21:00
3,Panda Express,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
4,Kaminari,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,00:00,00:00,12:00,21:00
5,The Grid,07:00,23:59,07:00,23:59,07:00,23:59,07:00,23:59,07:00,23:59,08:00,23:59,09:00,23:59
6,Chaparral Lopes Mart,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,10:00,22:00
7,Diamondback Chick-Fil-A,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,00:00,00:00
8,Diamondback GCBC,00:00,00:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,07:00,19:00,07:00,19:00
9,Arena Purple Greens,12:30,18:00,10:00,18:00,10:00,18:00,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00
10,Arena Cafe,12:30,20:00,10:00,20:00,10:00,20:00,00:00,00:00,10:00,20:00,00:00,00:00,00:00,00:00
11,Juniper Lopes Mart,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,09:00,22:00
12,Lopes Way Chick-Fil-A,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,00:00,00:00
13,Subway,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00
14,Pita Jungle,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,00:00,00:00,10:30,22:00
15,Roadrunner GCBC,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,07:00,19:00,07:00,19:00
16,Student Union GCBC,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,07:00,23:00,07:00,23:00
17,Einstein Bagel,07:00,13:00,07:00,13:00,07:00,13:00,07:00,13:00,07:00,13:00,07:00,13:00,07:00,13:00
18,Habit Burger,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,11:00,22:00,11:00,22:00
19,Lopes Training Table,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,10:00,14:00,00:00,00:00
20,Qdoba,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00
21,Jamba Juice,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00
22,Fresh Fusion,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,17:00,11:00,17:00
23,Canyon Pizza Co.,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00,13:00,21:00
24,Nerd Herd,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00
25,Esports Lounge,09:00,23:59,09:00,23:59,09:00,23:59,09:00,23:59,09:00,23:59,12:00,23:59,12:00,22:00
27,Taco Bell,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
28,Turquoise Purple Greens,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
29,Panera Bread,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00
30,Nectar Juice Bar,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,10:00,20:00,10:00,20:00
31,Jimmy Johns,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
32,Havoc House,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00
33,CAC Lopes Mart,14:00,22:00,14:00,22:00,14:00,22:00,14:00,22:00,14:00,22:00,14:00,22:00,14:00,22:00
34,Sweet Disciple,13:00,22:00,13:00,22:00,13:00,22:00,13:00,22:00,13:00,22:00,13:00,22:00,13:00,22:00
35,Taco Thunder,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,00:00,00:00,00:00,00:00
36,The Quad Kitchen,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,16:00,18:00,14:00,18:00
